ADS,CA,DI,DUO,EXT,IMP,INF,PER,POE,POI,PRO,PA Score,Interp Score,LP Score,Total,Place,Year
81,75.5,44,65,32,41.5,74.5,87.5,60,49,49,318.5,267,73.5,659,1,2013
34,27,59,42.5,36.5,32,59,19.5,42,86.5,50,139.5,280,68.5,488,2,2013
18,32.5,37.5,29,76,40,32.5,20.5,18.5,8,22.5,103.5,115.5,116,335,3,2013
18,13.5,13,25,37.5,26,30.5,26,35.5,26.5,21.5,88,121.5,63.5,273,4,2013
13,14,37,15,36.5,23,10.5,22,29.5,17.5,41.5,59.5,140.5,59.5,259.5,5,2013
15.5,16.5,17.5,32.5,8.5,9,13.5,22,35.5,47.5,40.5,67.5,173.5,17.5,258.5,6,2013
20,21.5,16,22,17.5,18.5,7,23,46.5,20.5,22.5,71.5,127.5,36,235,7,2013
18.5,19.5,23,9.5,13,22.5,15,30,26.5,18,13.5,83,90.5,35.5,209,8,2013
41,22.5,9.5,5.5,12.5,7.5,25,20.5,14,12.5,13,109,54.5,20,183.5,9,2013
18,3,39,29.5,8.5,36,6.5,5,10,15,10.5,32.5,104,44.5,181,10,2013
16,2.5,14,6,9,17,8,5,4.5,3,34,31.5,61.5,26,119,11,2013
6.5,10,11.5,0,3.5,11.5,15,14,15,27,4.5,45.5,58,15,118.5,12,2013
8.5,6,8.5,1,14.5,12,13,24,4,4.5,4,51.5,22,26.5,100,13,2013
2,2.5,25.5,1.5,7.5,3,13,3,18,10.5,12.5,20.5,68,10.5,99,14,2013
12.5,9.5,4,7,11,16,7,8.5,6,8,7.5,37.5,32.5,27,97,15,2013
1,26.5,0,0,13,19,2,23,0,0,0,52.5,0,32,84.5,16,2013
8.5,5.5,0,0,11.5,19.5,21.5,12.5,3,0,0.5,48,3.5,31,82.5,17,2013
3,3.5,4.5,1,9.5,11.5,12,1,8,12,9.5,19.5,35,21,75.5,18,2013
3,2.5,11,0,12,5,6.5,5,3.5,18,7,17,39.5,17,73.5,19,2013
4,3.5,7,3,2.5,8.5,6.5,11.5,5,5.5,11,25.5,31.5,11,68,20,2013
16,21.5,0,3.5,15,6.5,4.5,0,0,0,0,42,3.5,21.5,67,21,2013
17.5,3.5,2.5,3,2,6,2.5,7.5,4,8.5,10,31,28,8,67,21,2013
0.5,0,16.5,26.5,0,0,0,0,12,0,10,0.5,65,0,65.5,23,2013
8.5,5,2.5,2,5,6,10.5,5,9.5,8.5,0.5,29,23,11,63,24,2013
0,8.5,1.5,1.5,6.5,25,8.5,1,4,5.5,0,18,12.5,31.5,62,25,2013
8,0,3,2,2.5,7.5,4.5,10,4.5,9.5,8.5,22.5,27.5,10,60,26,2013
0,3,7.5,18,0,2.5,0,1.5,8,0,18.5,4.5,52,2.5,59,27,2013
1,0.5,5,7,4.5,6,0.5,1,5.5,0,12,3,29.5,10.5,43,28,2013
0,2,0,0,14,13.5,0,11,0,0,0,13,0,27.5,40.5,29,2013
